front_distance,left_distance,right_distance,goal_direction,previous_action,step_count,expert_action,scenario_type
6,56,43,forward,stop,0,turn_left,front_obstacle
33,16,73,right,stop,5,turn_right,narrow_gap
8,3,14,left,turn_right,1,reverse,dead_end
90,81,27,right,reverse,0,turn_right,goal_misalignment
15,41,84,forward,reverse,4,turn_right,low_distance_noise
79,39,64,left,move_forward,3,turn_left,open_path
19,61,16,left,move_forward,4,turn_left,front_obstacle
18,5,83,right,turn_right,5,turn_right,narrow_gap
8,8,16,forward,move_forward,4,stop,dead_end
70,61,82,right,none,1,turn_right,goal_misalignment
18,39,46,forward,turn_left,4,turn_right,low_distance_noise
87,71,41,forward,turn_right,4,move_forward,open_path
17,18,41,right,none,1,turn_right,front_obstacle
27,21,58,right,stop,2,turn_right,narrow_gap
6,8,10,right,turn_right,4,reverse,dead_end
76,84,88,left,reverse,1,turn_left,goal_misalignment
16,25,62,forward,turn_right,1,turn_right,low_distance_noise
76,86,58,forward,stop,6,move_forward,open_path
12,41,19,left,stop,3,turn_left,front_obstacle
35,14,82,right,move_forward,5,turn_right,narrow_gap
10,8,15,forward,turn_right,0,stop,dead_end
35,62,83,left,turn_right,1,turn_left,goal_misalignment
23,37,86,forward,turn_right,5,move_forward,low_distance_noise
48,28,72,forward,turn_right,2,move_forward,open_path
12,60,64,right,reverse,3,turn_right,front_obstacle
29,7,90,right,turn_left,6,turn_right,narrow_gap
6,14,11,right,turn_right,6,reverse,dead_end
42,50,67,left,reverse,2,turn_left,goal_misalignment
15,40,43,forward,move_forward,6,turn_right,low_distance_noise
61,38,62,right,move_forward,4,turn_right,open_path
8,32,78,right,turn_right,1,turn_right,front_obstacle
11,15,76,right,stop,2,turn_right,narrow_gap
3,9,7,left,none,2,reverse,dead_end
79,77,32,left,stop,5,turn_left,goal_misalignment
20,20,81,forward,move_forward,4,move_forward,low_distance_noise
90,81,87,right,stop,4,turn_right,open_path
10,70,17,right,turn_left,1,turn_left,front_obstacle
21,17,83,right,turn_right,5,turn_right,narrow_gap
17,10,17,forward,none,6,stop,dead_end
76,83,53,left,turn_left,3,turn_left,goal_misalignment
14,25,35,forward,turn_left,2,turn_right,low_distance_noise
89,67,63,forward,none,3,move_forward,open_path
7,40,34,forward,stop,1,turn_left,front_obstacle
14,12,70,right,none,1,turn_right,narrow_gap
6,15,6,forward,move_forward,5,stop,dead_end
79,51,27,left,move_forward,1,turn_left,goal_misalignment
21,38,41,forward,move_forward,1,move_forward,low_distance_noise
72,26,76,left,turn_left,6,turn_left,open_path
19,60,68,forward,stop,3,turn_right,front_obstacle
11,17,84,right,stop,3,turn_right,narrow_gap
8,4,5,left,turn_right,5,reverse,dead_end
51,45,62,right,turn_left,5,turn_right,goal_misalignment
19,40,51,forward,turn_right,6,turn_right,low_distance_noise
63,31,39,left,stop,0,turn_left,open_path
12,56,32,right,move_forward,2,turn_left,front_obstacle
19,17,42,right,turn_left,5,turn_right,narrow_gap
17,10,4,left,reverse,6,reverse,dead_end
87,79,90,left,reverse,3,turn_left,goal_misalignment
15,37,58,forward,reverse,1,turn_right,low_distance_noise
47,88,63,right,turn_left,3,turn_right,open_path
7,17,69,right,move_forward,1,turn_right,front_obstacle
11,11,48,right,move_forward,6,turn_right,narrow_gap
13,3,10,right,turn_right,1,reverse,dead_end
82,70,73,left,turn_left,5,turn_left,goal_misalignment
21,25,79,forward,turn_left,3,move_forward,low_distance_noise
54,67,72,right,move_forward,2,turn_right,open_path
15,25,22,forward,reverse,2,turn_left,front_obstacle
20,22,59,right,move_forward,5,turn_right,narrow_gap
15,3,11,left,move_forward,6,reverse,dead_end
74,54,40,left,move_forward,6,turn_left,goal_misalignment
18,26,66,forward,reverse,5,turn_right,low_distance_noise
87,90,52,forward,reverse,3,move_forward,open_path
11,52,31,right,turn_right,0,turn_left,front_obstacle
14,5,83,right,none,1,turn_right,narrow_gap
17,6,18,forward,none,5,stop,dead_end
55,39,47,right,reverse,3,turn_right,goal_misalignment
23,29,61,forward,turn_right,5,move_forward,low_distance_noise
80,39,60,left,none,5,turn_left,open_path
11,47,74,right,turn_left,5,turn_right,front_obstacle
18,16,43,right,stop,2,turn_right,narrow_gap
14,9,8,forward,turn_left,6,reverse,dead_end
85,45,25,right,none,1,turn_right,goal_misalignment
24,31,79,forward,move_forward,4,move_forward,low_distance_noise
46,30,28,forward,turn_left,4,move_forward,open_path
15,85,44,forward,turn_left,4,turn_left,front_obstacle
32,10,73,right,move_forward,0,turn_right,narrow_gap
8,12,16,left,turn_left,1,stop,dead_end
81,75,74,right,reverse,5,turn_right,goal_misalignment
12,27,54,forward,turn_left,1,turn_right,low_distance_noise
64,80,49,forward,stop,3,move_forward,open_path
12,38,38,right,stop,3,turn_left,front_obstacle
11,17,66,right,none,5,turn_right,narrow_gap
18,8,6,right,none,5,reverse,dead_end
84,28,64,left,reverse,5,turn_left,goal_misalignment
12,40,39,forward,turn_right,0,turn_left,low_distance_noise
81,77,71,right,turn_right,6,turn_right,open_path
12,77,48,forward,stop,2,turn_left,front_obstacle
30,12,54,right,none,1,turn_right,narrow_gap
8,16,13,right,turn_left,6,stop,dead_end
57,75,39,right,stop,4,turn_right,goal_misalignment
12,22,76,forward,move_forward,1,turn_right,low_distance_noise
74,68,85,left,stop,6,turn_left,open_path
8,85,75,left,move_forward,5,turn_left,front_obstacle
28,15,55,right,stop,4,turn_right,narrow_gap
18,16,10,right,turn_left,1,stop,dead_end
77,47,46,left,reverse,1,turn_left,goal_misalignment
16,44,65,forward,turn_right,4,turn_right,low_distance_noise
79,59,56,right,turn_left,0,turn_right,open_path
18,29,52,right,none,1,turn_right,front_obstacle
27,10,79,right,none,4,turn_right,narrow_gap
10,16,16,right,reverse,3,stop,dead_end
51,48,80,left,none,5,turn_left,goal_misalignment
16,32,61,forward,move_forward,5,turn_right,low_distance_noise
87,58,75,left,turn_left,4,turn_left,open_path
16,44,22,right,turn_left,2,turn_left,front_obstacle
21,15,68,right,turn_right,4,turn_right,narrow_gap
4,11,8,forward,move_forward,0,reverse,dead_end
56,53,46,left,turn_left,4,turn_left,goal_misalignment
20,43,78,forward,stop,0,move_forward,low_distance_noise
47,31,86,right,stop,1,turn_right,open_path
7,65,63,left,turn_right,6,turn_left,front_obstacle
11,10,44,right,move_forward,4,turn_right,narrow_gap
15,17,8,left,turn_right,2,stop,dead_end
42,51,90,left,none,0,turn_left,goal_misalignment
17,21,42,forward,turn_right,6,turn_right,low_distance_noise
86,68,76,right,turn_right,2,turn_right,open_path
6,66,21,right,stop,2,turn_left,front_obstacle
14,16,68,right,turn_right,0,turn_right,narrow_gap
13,6,17,left,turn_right,5,stop,dead_end
63,86,61,left,turn_right,1,turn_left,goal_misalignment
22,21,84,forward,reverse,5,move_forward,low_distance_noise
81,58,55,left,turn_left,2,turn_left,open_path
14,86,69,forward,reverse,6,turn_left,front_obstacle
23,17,56,right,move_forward,2,turn_right,narrow_gap
14,12,12,right,turn_right,0,reverse,dead_end
75,36,60,left,reverse,0,turn_left,goal_misalignment
19,40,65,forward,turn_left,6,turn_right,low_distance_noise
72,67,74,forward,stop,2,move_forward,open_path
6,32,37,right,reverse,0,turn_right,front_obstacle
16,16,75,right,turn_right,4,turn_right,narrow_gap
15,18,6,right,move_forward,0,stop,dead_end
86,76,88,left,turn_right,6,turn_left,goal_misalignment
15,27,52,forward,move_forward,0,turn_right,low_distance_noise
55,50,31,left,stop,3,turn_left,open_path
14,40,87,forward,turn_right,2,turn_right,front_obstacle
12,13,83,right,none,5,turn_right,narrow_gap
10,18,15,left,turn_left,0,stop,dead_end
58,86,59,left,none,4,turn_left,goal_misalignment
14,21,66,forward,stop,4,turn_right,low_distance_noise
69,65,84,right,none,4,turn_right,open_path
18,49,21,left,reverse,2,turn_left,front_obstacle
19,10,81,right,none,1,turn_right,narrow_gap
8,4,11,right,move_forward,3,reverse,dead_end
74,53,28,left,turn_left,3,turn_left,goal_misalignment
23,40,85,forward,none,6,move_forward,low_distance_noise
78,69,73,left,turn_right,6,turn_left,open_path
19,47,24,left,reverse,5,turn_left,front_obstacle
20,12,69,right,reverse,2,turn_right,narrow_gap
9,3,8,left,reverse,5,reverse,dead_end
75,75,46,left,stop,0,turn_left,goal_misalignment
19,28,39,forward,move_forward,1,turn_right,low_distance_noise
61,30,42,right,reverse,4,turn_right,open_path
8,76,40,forward,turn_left,6,turn_left,front_obstacle
25,15,38,right,move_forward,1,turn_right,narrow_gap
14,12,16,right,turn_left,2,stop,dead_end
58,74,72,left,stop,1,turn_left,goal_misalignment
17,37,37,forward,turn_left,1,turn_left,low_distance_noise
78,58,77,forward,reverse,4,move_forward,open_path
10,58,34,right,none,5,turn_left,front_obstacle
29,6,71,right,none,6,turn_right,narrow_gap
17,8,18,right,turn_right,3,stop,dead_end
89,44,80,right,reverse,5,turn_right,goal_misalignment
15,24,68,forward,stop,4,turn_right,low_distance_noise
47,68,86,forward,stop,4,move_forward,open_path
11,55,48,left,none,2,turn_left,front_obstacle
10,13,50,right,turn_left,3,turn_right,narrow_gap
8,5,13,left,turn_right,5,reverse,dead_end
75,69,81,left,reverse,6,turn_left,goal_misalignment
18,31,79,forward,turn_right,1,turn_right,low_distance_noise
86,90,48,right,move_forward,5,turn_right,open_path
14,77,25,left,move_forward,0,turn_left,front_obstacle
21,9,86,right,turn_right,6,turn_right,narrow_gap
12,18,15,left,none,1,stop,dead_end
59,64,53,left,turn_left,2,turn_left,goal_misalignment
16,41,69,forward,turn_left,4,turn_right,low_distance_noise
85,27,47,right,none,3,turn_right,open_path
9,72,29,forward,reverse,5,turn_left,front_obstacle
33,7,36,right,move_forward,1,turn_right,narrow_gap
16,5,15,forward,stop,1,stop,dead_end
39,81,27,left,reverse,3,turn_left,goal_misalignment
18,39,37,forward,move_forward,3,turn_left,low_distance_noise
88,80,50,forward,reverse,6,move_forward,open_path
5,22,87,right,reverse,5,turn_right,front_obstacle
21,9,84,right,move_forward,2,turn_right,narrow_gap
6,12,8,left,turn_left,5,reverse,dead_end
60,33,58,right,turn_right,2,turn_right,goal_misalignment
22,21,62,forward,move_forward,0,move_forward,low_distance_noise
53,64,86,right,reverse,3,turn_right,open_path
18,24,52,right,reverse,6,turn_right,front_obstacle
27,16,59,right,reverse,5,turn_right,narrow_gap
5,4,12,forward,turn_right,2,reverse,dead_end
83,79,37,right,none,6,turn_right,goal_misalignment
14,30,70,forward,turn_right,0,turn_right,low_distance_noise
91,43,64,left,none,3,turn_left,open_path
11,28,33,left,none,1,turn_right,front_obstacle
14,10,43,right,turn_right,5,turn_right,narrow_gap
17,6,11,left,stop,4,reverse,dead_end
45,43,29,right,none,3,turn_right,goal_misalignment
13,29,85,forward,turn_left,5,turn_right,low_distance_noise
62,34,52,left,move_forward,4,turn_left,open_path
13,76,56,forward,turn_right,2,turn_left,front_obstacle
12,14,46,right,turn_right,6,turn_right,narrow_gap
7,16,16,forward,reverse,6,stop,dead_end
52,59,49,right,stop,3,turn_right,goal_misalignment
20,34,76,forward,move_forward,6,move_forward,low_distance_noise
85,54,36,left,turn_right,2,turn_left,open_path
16,73,30,right,turn_left,4,turn_left,front_obstacle
13,13,48,right,move_forward,5,turn_right,narrow_gap
6,5,10,forward,reverse,4,reverse,dead_end
56,30,84,left,stop,6,turn_left,goal_misalignment
17,36,67,forward,stop,4,turn_right,low_distance_noise
52,52,63,right,turn_right,0,turn_right,open_path
10,73,31,left,none,6,turn_left,front_obstacle
17,21,68,right,turn_right,6,turn_right,narrow_gap
9,17,7,left,move_forward,1,stop,dead_end
87,56,42,left,turn_left,2,turn_left,goal_misalignment
24,43,46,forward,stop,3,move_forward,low_distance_noise
77,87,28,right,none,6,turn_right,open_path
8,67,87,forward,turn_right,0,turn_right,front_obstacle
21,10,57,right,turn_right,1,turn_right,narrow_gap
18,8,6,left,none,4,reverse,dead_end
37,74,26,left,none,5,turn_left,goal_misalignment
24,25,53,forward,reverse,2,move_forward,low_distance_noise
63,67,43,right,move_forward,6,turn_right,open_path
19,84,50,left,reverse,3,turn_left,front_obstacle
33,21,35,right,turn_left,0,turn_right,narrow_gap
16,17,14,forward,stop,4,stop,dead_end
53,39,66,right,none,4,turn_right,goal_misalignment
19,34,80,forward,turn_left,3,turn_right,low_distance_noise
59,35,33,forward,none,0,move_forward,open_path
7,24,19,left,reverse,5,turn_left,front_obstacle
24,14,60,right,turn_right,3,turn_right,narrow_gap
16,8,7,right,none,4,reverse,dead_end
47,36,56,right,turn_left,1,turn_right,goal_misalignment
15,42,40,forward,none,5,turn_left,low_distance_noise
49,78,53,right,turn_right,3,turn_right,open_path
5,46,56,right,reverse,3,turn_right,front_obstacle
35,9,44,right,stop,0,turn_right,narrow_gap
17,16,10,forward,stop,1,stop,dead_end
41,39,87,right,none,0,turn_right,goal_misalignment
21,35,38,forward,turn_right,0,move_forward,low_distance_noise
62,46,39,forward,stop,5,move_forward,open_path
7,27,81,left,turn_left,5,turn_right,front_obstacle
33,21,65,right,move_forward,1,turn_right,narrow_gap
5,3,16,left,turn_right,5,stop,dead_end
73,85,83,left,reverse,6,turn_left,goal_misalignment
22,39,71,forward,stop,2,move_forward,low_distance_noise
87,68,59,right,turn_right,2,turn_right,open_path
15,87,85,left,none,6,turn_left,front_obstacle
14,11,72,right,turn_left,4,turn_right,narrow_gap
5,13,12,forward,turn_right,2,reverse,dead_end
68,40,36,right,move_forward,5,turn_right,goal_misalignment
16,35,64,forward,turn_left,4,turn_right,low_distance_noise
82,27,48,forward,move_forward,6,move_forward,open_path
11,17,64,forward,none,5,turn_right,front_obstacle
25,16,73,right,turn_right,6,turn_right,narrow_gap
16,8,17,forward,none,2,stop,dead_end
68,63,36,right,move_forward,2,turn_right,goal_misalignment
17,44,41,forward,move_forward,6,turn_left,low_distance_noise
48,48,31,forward,move_forward,3,move_forward,open_path
14,60,24,forward,turn_left,2,turn_left,front_obstacle
32,16,39,right,move_forward,3,turn_right,narrow_gap
8,5,12,left,move_forward,2,reverse,dead_end
38,42,85,left,reverse,3,turn_left,goal_misalignment
12,24,70,forward,none,2,turn_right,low_distance_noise
49,32,88,forward,none,5,move_forward,open_path
12,35,40,left,stop,6,turn_right,front_obstacle
31,11,55,right,stop,6,turn_right,narrow_gap
15,11,3,forward,none,4,reverse,dead_end
35,31,80,right,turn_right,4,turn_right,goal_misalignment
14,33,84,forward,stop,1,turn_right,low_distance_noise
45,81,48,right,stop,3,turn_right,open_path
17,38,60,right,turn_right,2,turn_right,front_obstacle
30,8,44,right,reverse,4,turn_right,narrow_gap
17,16,6,forward,none,1,stop,dead_end
52,36,69,left,reverse,0,turn_left,goal_misalignment
22,37,90,forward,reverse,2,move_forward,low_distance_noise
94,73,35,forward,move_forward,1,move_forward,open_path
18,59,36,forward,reverse,2,turn_left,front_obstacle
13,8,45,right,reverse,4,turn_right,narrow_gap
14,4,7,forward,reverse,6,reverse,dead_end
42,72,68,left,turn_right,3,turn_left,goal_misalignment
20,43,89,forward,turn_left,0,move_forward,low_distance_noise
57,59,28,right,reverse,6,turn_right,open_path
8,29,36,forward,turn_left,3,turn_right,front_obstacle
35,11,63,right,move_forward,2,turn_right,narrow_gap
10,15,17,left,turn_right,2,stop,dead_end
43,76,42,right,stop,0,turn_right,goal_misalignment
17,31,65,forward,stop,3,turn_right,low_distance_noise
83,82,68,forward,move_forward,4,move_forward,open_path
16,39,24,left,move_forward,0,turn_left,front_obstacle
35,19,65,right,reverse,1,turn_right,narrow_gap
9,10,17,right,reverse,5,stop,dead_end
39,34,28,left,turn_right,1,turn_left,goal_misalignment
14,40,48,forward,turn_right,6,turn_right,low_distance_noise
69,56,68,left,none,6,turn_left,open_path
8,85,28,right,turn_left,5,turn_left,front_obstacle
23,13,52,right,stop,4,turn_right,narrow_gap
9,12,7,right,turn_right,0,reverse,dead_end
85,39,66,left,turn_right,6,turn_left,goal_misalignment
20,33,79,forward,none,5,move_forward,low_distance_noise
46,51,57,right,reverse,1,turn_right,open_path
12,73,88,left,none,6,turn_right,front_obstacle
26,15,47,right,turn_right,5,turn_right,narrow_gap
3,10,12,left,none,3,reverse,dead_end
66,32,46,left,none,5,turn_left,goal_misalignment
24,42,84,forward,turn_right,6,move_forward,low_distance_noise
81,28,80,forward,turn_left,3,move_forward,open_path
9,21,55,right,stop,4,turn_right,front_obstacle
15,9,46,right,none,5,turn_right,narrow_gap
17,17,15,right,stop,2,stop,dead_end
37,39,46,left,turn_left,1,turn_left,goal_misalignment
17,26,73,forward,turn_left,3,turn_right,low_distance_noise
63,68,46,right,turn_right,5,turn_right,open_path
16,90,33,right,turn_left,6,turn_left,front_obstacle
12,22,75,right,stop,6,turn_right,narrow_gap
18,8,7,left,stop,6,reverse,dead_end
47,64,37,right,turn_left,2,turn_right,goal_misalignment
22,42,38,forward,turn_left,2,move_forward,low_distance_noise
71,87,73,left,move_forward,2,turn_left,open_path
13,51,76,forward,move_forward,4,turn_right,front_obstacle
27,9,47,right,turn_left,1,turn_right,narrow_gap
3,5,17,right,turn_left,4,stop,dead_end
49,34,83,left,stop,2,turn_left,goal_misalignment
15,44,67,forward,move_forward,0,turn_right,low_distance_noise
49,89,72,forward,reverse,2,move_forward,open_path
15,66,67,forward,move_forward,1,turn_right,front_obstacle
32,8,66,right,move_forward,4,turn_right,narrow_gap
9,16,16,forward,turn_left,4,stop,dead_end
42,71,35,left,reverse,1,turn_left,goal_misalignment
24,43,89,forward,turn_right,2,move_forward,low_distance_noise
46,61,75,right,turn_left,0,turn_right,open_path
16,17,56,right,move_forward,6,turn_right,front_obstacle
24,18,49,right,move_forward,5,turn_right,narrow_gap
17,11,14,forward,turn_left,2,reverse,dead_end
44,42,85,left,turn_right,6,turn_left,goal_misalignment
13,32,75,forward,reverse,5,turn_right,low_distance_noise
92,39,76,right,move_forward,6,turn_right,open_path
13,73,27,right,none,2,turn_left,front_obstacle
28,21,39,right,reverse,2,turn_right,narrow_gap
5,14,14,right,stop,2,reverse,dead_end
55,26,30,left,turn_left,2,turn_left,goal_misalignment
13,22,65,forward,turn_left,1,turn_right,low_distance_noise
58,89,31,right,reverse,0,turn_right,open_path
13,45,44,left,reverse,6,turn_left,front_obstacle
19,13,87,right,none,1,turn_right,narrow_gap
18,13,10,right,move_forward,2,reverse,dead_end
58,61,40,right,turn_left,6,turn_right,goal_misalignment
16,42,82,forward,move_forward,4,turn_right,low_distance_noise
51,61,80,left,none,3,turn_left,open_path
16,38,24,left,turn_left,6,turn_left,front_obstacle
25,18,72,right,none,3,turn_right,narrow_gap
16,13,11,right,turn_right,6,reverse,dead_end
70,79,72,left,none,4,turn_left,goal_misalignment
13,38,78,forward,move_forward,0,turn_right,low_distance_noise
71,86,30,forward,move_forward,5,move_forward,open_path
16,45,49,forward,none,2,turn_right,front_obstacle
22,12,58,right,turn_left,4,turn_right,narrow_gap
4,11,17,right,move_forward,4,stop,dead_end
63,76,40,left,stop,1,turn_left,goal_misalignment
16,35,90,forward,none,0,turn_right,low_distance_noise
89,80,49,forward,turn_right,5,move_forward,open_path
5,74,86,right,stop,4,turn_right,front_obstacle
22,7,76,right,move_forward,5,turn_right,narrow_gap
11,5,5,left,reverse,3,reverse,dead_end
41,81,41,right,move_forward,0,turn_right,goal_misalignment
19,20,42,forward,reverse,3,turn_right,low_distance_noise
61,54,57,forward,move_forward,0,move_forward,open_path
6,20,77,right,stop,0,turn_right,front_obstacle
10,18,53,right,reverse,3,turn_right,narrow_gap
10,14,14,forward,stop,4,reverse,dead_end
72,59,79,left,stop,3,turn_left,goal_misalignment
20,35,62,forward,none,1,move_forward,low_distance_noise
82,44,37,left,stop,2,turn_left,open_path
8,78,76,right,move_forward,0,turn_left,front_obstacle
27,10,44,right,turn_right,0,turn_right,narrow_gap
17,4,10,forward,stop,4,reverse,dead_end
48,62,90,left,reverse,4,turn_left,goal_misalignment
21,35,39,forward,reverse,1,move_forward,low_distance_noise
91,30,65,right,turn_right,4,turn_right,open_path
12,83,21,right,reverse,3,turn_left,front_obstacle
14,19,89,right,turn_left,0,turn_right,narrow_gap
14,4,6,left,move_forward,3,reverse,dead_end
57,44,56,left,turn_left,1,turn_left,goal_misalignment
22,34,43,forward,turn_right,6,move_forward,low_distance_noise
94,39,71,forward,turn_left,3,move_forward,open_path
16,74,68,forward,reverse,5,turn_left,front_obstacle
17,9,87,right,none,6,turn_right,narrow_gap
18,10,12,forward,turn_right,1,reverse,dead_end
46,74,59,left,move_forward,0,turn_left,goal_misalignment
15,32,81,forward,turn_right,6,turn_right,low_distance_noise
84,27,70,forward,move_forward,1,move_forward,open_path
15,55,25,right,none,3,turn_left,front_obstacle
34,21,50,right,turn_right,2,turn_right,narrow_gap
7,15,17,forward,none,3,stop,dead_end
52,74,57,left,turn_left,2,turn_left,goal_misalignment
17,32,70,forward,stop,2,turn_right,low_distance_noise
54,83,29,left,turn_right,2,turn_left,open_path
17,43,26,left,reverse,5,turn_left,front_obstacle
25,20,56,right,stop,2,turn_right,narrow_gap
13,6,14,forward,move_forward,1,reverse,dead_end
81,83,65,right,turn_right,2,turn_right,goal_misalignment
19,24,74,forward,turn_right,0,turn_right,low_distance_noise
55,53,54,right,turn_right,2,turn_right,open_path
19,90,79,left,stop,6,turn_left,front_obstacle
35,21,52,right,turn_left,5,turn_right,narrow_gap
18,5,4,forward,stop,5,reverse,dead_end
90,38,72,left,none,2,turn_left,goal_misalignment
19,37,74,forward,stop,4,turn_right,low_distance_noise
48,63,88,right,move_forward,5,turn_right,open_path
17,55,20,left,none,0,turn_left,front_obstacle
20,22,57,right,move_forward,6,turn_right,narrow_gap
6,9,3,right,turn_left,5,reverse,dead_end
63,31,64,right,move_forward,1,turn_right,goal_misalignment
23,26,70,forward,turn_left,0,move_forward,low_distance_noise
87,65,59,forward,move_forward,0,move_forward,open_path
19,30,33,forward,reverse,1,turn_right,front_obstacle
28,12,86,right,move_forward,6,turn_right,narrow_gap
7,7,5,right,stop,3,reverse,dead_end
40,41,84,left,move_forward,2,turn_left,goal_misalignment
17,22,53,forward,turn_left,6,turn_right,low_distance_noise
72,89,60,left,stop,5,turn_left,open_path
19,20,59,left,move_forward,3,turn_right,front_obstacle
11,21,85,right,reverse,0,turn_right,narrow_gap
7,12,3,left,reverse,5,reverse,dead_end
38,74,53,left,stop,3,turn_left,goal_misalignment
18,33,46,forward,turn_left,1,turn_right,low_distance_noise
91,38,88,forward,stop,3,move_forward,open_path
15,30,62,forward,turn_right,6,turn_right,front_obstacle
16,21,80,right,reverse,0,turn_right,narrow_gap
16,15,8,forward,turn_right,5,stop,dead_end
81,62,68,right,none,2,turn_right,goal_misalignment
21,44,57,forward,none,4,move_forward,low_distance_noise
77,70,43,left,move_forward,5,turn_left,open_path
18,47,25,forward,none,3,turn_left,front_obstacle
15,15,60,right,move_forward,2,turn_right,narrow_gap
9,15,18,forward,turn_right,3,stop,dead_end
90,90,62,right,none,6,turn_right,goal_misalignment
16,36,56,forward,stop,6,turn_right,low_distance_noise
87,42,32,forward,turn_right,5,move_forward,open_path
17,71,85,right,move_forward,4,turn_right,front_obstacle
29,7,61,right,reverse,2,turn_right,narrow_gap
9,4,7,right,none,0,reverse,dead_end
78,52,87,left,none,6,turn_left,goal_misalignment
23,40,83,forward,none,2,move_forward,low_distance_noise
83,29,30,forward,reverse,4,move_forward,open_path
15,74,75,forward,turn_right,0,turn_right,front_obstacle
